DATUM_VORSTOSS_EINGANG;NR_LEGISLATUR;GRG_NR;VORSTOSS_BEZEICHNUNG;VORSTOSSART_BEZEICHNUNG;VORSTOSSART_CODE;Sachbegriffe_GRGEKO_1;Sachbegriffe_GRGEKO_2;Sachbegriffe_GRGEKO_3;Thema_1;Thema_2;Thema_3;VORSTOESSER_IN_1;PARTEI_BEZEICHNUNG_1;PARTEI_CODE_1;VORSTOESSER_IN_2;PARTEI_BEZEICHNUNG_2;PARTEI_CODE_2;VORSTOESSER_IN_3;PARTEI_BEZEICHNUNG_3;PARTEI_CODE_3;VORSTOESSER_IN_4;PARTEI_BEZEICHNUNG_4;PARTEI_CODE_4;VORSTOESSER_IN_5;PARTEI_BEZEICHNUNG_5;PARTEI_CODE_5;VORSTOESSER_IN_6;PARTEI_BEZEICHNUNG_6;PARTEI_CODE_6;VORSTOESSER_IN_7;PARTEI_BEZEICHNUNG_7;PARTEI_CODE_7;VORSTOESSER_IN_8;PARTEI_BEZEICHNUNG_8;PARTEI_CODE_8;VORSTOESSER_IN_9;PARTEI_BEZEICHNUNG_9;PARTEI_CODE_9;VORSTOESSER_IN_10;PARTEI_BEZEICHNUNG_10;PARTEI_CODE_10;BEANTWORTUNG_REGIERUNGSRAT;DATUM_BESCHLUSS_GR;BESCHLUSS_GR;BESCHLUSS_GR_CODE;VORLAEUFIGE_UNTERSTUETZUNG;ERLEDIGUNG_GR;DATUM_BEANTWORTUNG_REGIERUNGSRAT
13.06.2018;0240/2016-2020/GR;240;Ladenöffnungszeiten im Thurgau;Motion;2;55.3 Gewerbepolizei, Marktwesen, Ladenschluss, Ausverkäufe;;;Sicherheitspolitik;Wirtschaft;;Jakob Auer;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
13.06.2018;0246/2016-2020/GR;246;Migrationsamt schikaniert junge Hockeyspieler;Einfache Anfrage;5;14.2 Niederlassung, Aufenthalt, Asyl;;;Staatspolitik;Migration;;Andrea Vonlanthen;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2018;;;;;;
13.06.2018;0245/2016-2020/GR;245;Schwindelgründungen und Raubritter-Konkurse im Thurgau;Einfache Anfrage;5;28.0 Schuldbetreibung und Konkurs;;;Recht allgemein;;;Pascal Schmid;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2018;;;;;;
27.06.2018;0251/2016-2020/GR;251;Die Genitalverstümmelung von Mädchen im Namen der Religion oder Tradition ist ein Verbrechen und muss mit allen Mitteln verfolgt werden;Einfache Anfrage;5;10.0 Bundesverfassung / Menschenrechte;;;Staatspolitik;;;Hanspeter Gantenbein;SVP;1;Iwan Wüst;EDU;8;;;;;;;;;;;;;;;;;;;;;;;;;21.08.2018;;;;;;
27.06.2018;0255/2016-2020/GR;255;Zu Vernehmlassungsverfahren eingeladene Organisationen;Einfache Anfrage;5;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Nina Schläfli;SP;4;Marina Bruggmann;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;21.08.2018;;;;;;
27.06.2018;0252/2016-2020/GR;252;Nutzung der neuen Finanzhilfen im Bereich familienergänzende Kinderbetreuung;Einfache Anfrage;5;83.6 Familien- und Kinderzulagen;;;Sozialer Schutz;Soziale Fragen;;Alban Imeri;BDP;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2018;;;;;;
27.06.2018;0253/2016-2020/GR;253;Noch mehr Kontrollen für Landwirtschaft und Industrie?;Einfache Anfrage;5;90.0 Wirtschaftliche Entwicklung;;;Wirtschaft;;;Brigitte Kaufmann;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2018;;;;;;
27.06.2018;0254/2016-2020/GR;254;Stellenmeldepflicht, 19 Berufsgruppen betroffen trotz rekordtiefer Arbeitslosenquote. Warum?;Einfache Anfrage;5;82.3 Arbeitsmarkt, Wirtschaftsförderung;;;Beschäftigung und Arbeit;Wirtschaft;;Egon Scherrer;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2018;;;;;;
15.08.2018;0261/2016-2020/GR;261;Muss Politik aus dem öffentlichen Raum verschwinden?;Interpellation;4;81.0 Allgemeines, Organisation, Gesetz, Taxen;;;Gesundheit;;;Stefan Leuthold;glp;6;Elisabeth Rickenbach;EVP;7;Christian Mader;EDU;8;Didi Feuerle;GP;5;Alban Imeri;BDP;9;;;;;;;;;;;;;;;;11.12.2018;pendent;pendent am 1.1.2019;5;;;
15.08.2018;0261/2016-2020/GR;261;Muss Politik aus dem öffentlichen Raum verschwinden?;Interpellation;4;81.0 Allgemeines, Organisation, Gesetz, Taxen;;;Gesundheit;;;Stefan Leuthold;glp;6;Elisabeth Rickenbach;EVP;7;Christian Mader;EDU;8;Didi Feuerle;GP;5;Alban Imeri;SP;4;;;;;;;;;;;;;;;;11.12.2018;23.01.2019;;;;;
