Jahr;Name;Vorname;Beruf;Ort;Bezirk;Fraktion;GR_Eintritt;Geb_Jahr;Partei;Geschlecht
2012;Moor;Katharina;Lehrerin;Oberhofen;Kreuzlingen;SP;1999;1944;SP;weiblich
2020;Mühlemann;Stefan;dipl. Hotelmanager NDS/FH;Guntershausen;Frauenfeld;SVP;2020;;SVP;männlich
2021;Mühlemann;Stefan;dipl. Hotelmanager NDS FH;Guntershausen;Münchwilen;SVP;2020;;SVP;männlich
2013;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2014;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2015;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2016;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2017;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2018;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2019;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2020;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2021;Müller;Barbara;Dr. sc. nat. ETH, Geologin,Geochemikerin;Ettenhausen;Münchwilen;SP;2012;;SP;weiblich
2020;Müller;Elina;Architektin;Kreuzlingen;Kreuzlingen;SP;2019;;SP;weiblich
2021;Müller;Elina;Architektin;Kreuzlingen;Kreuzlingen;SP;2019;;SP;weiblich
2008;Müller;Gallus;Bauingenieur HTL;Guntershausen;Frauenfeld;CVP;2000;;CVP;männlich
2013;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/glp;2000;;CVP;männlich
2014;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/glp;2000;;CVP;männlich
2015;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/glp;2000;;CVP;männlich
2016;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/glp;2000;;CVP;männlich
2017;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/EVP;2000;;CVP;männlich
2018;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/EVP;2000;;CVP;männlich
2019;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/EVP;2000;;CVP;männlich
2020;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/EVP;2000;;CVP;männlich
2021;Müller;Gallus;Bauingenieur HTL;Guntershausen;Münchwilen;CVP/EVP;2000;;CVP;männlich
2009;Müller;Gallus;Bauingenieur HTL;Guntershausen;Frauenfeld;CVP/glp;2000;1956;CVP;männlich
2010;Müller;Gallus;Bauingenieur HTL;Guntershausen;Frauenfeld;CVP/glp;2000;1956;CVP;männlich
2011;Müller;Gallus;Bauingenieur HTL;Guntershausen;Frauenfeld;CVP/glp;2000;1956;CVP;männlich
2012;Müller;Gallus;Bauingenieur HTL;Guntershausen;Frauenfeld;CVP/glp;2000;1956;CVP;männlich
2017;Müller;Mathis;dipl. Biologe;Pfyn;Frauenfeld;GP;2016;;GP;männlich
2018;Müller;Mathis;dipl. Biologe;Pfyn;Frauenfeld;GP;2016;;GP;männlich
2019;Müller;Mathis;dipl. Biologe;Pfyn;Frauenfeld;GP;2016;;GP;männlich
2020;Müller;Mathis;dipl. Biologe UZH;Pfyn;Frauenfeld;GP;2016;;GP;männlich
2021;Müller;Mathis;dipl. Biologe UZH;Pfyn;Frauenfeld;GP;2016;;GP;männlich
2008;Müller;Matthias;lic. iur., Rechtsanwalt, Gemeindeammann;Frauenfeld;Frauenfeld;EVP/EDU;2000;;EVP;männlich
2013;Müller;Matthias;lic. iur., Rechtsanwalt,Gemeindeammann;Gachnang;Frauenfeld;EDU/EVP;2000;;EVP;männlich
2014;Müller;Matthias;lic. iur., Gemeindeammann;Gachnang;Frauenfeld;EDU/EVP;2000;;EVP;männlich
2009;Müller;Matthias;lic. iur., Rechtsanwalt, Gemeindeammann;Gachnang;Frauenfeld;EVP/EDU;2000;1953;EVP;männlich
2010;Müller;Matthias;lic. iur., Rechtsanwalt, Gemeindeammann;Gachnang;Frauenfeld;EVP/EDU;2000;1953;EVP;männlich
2011;Müller;Matthias;lic. iur., Rechtsanwalt, Gemeindeammann;Gachnang;Frauenfeld;EVP/EDU;2000;1953;EVP;männlich
2012;Müller;Matthias;lic. iur., Rechtsanwalt, Gemeindeammann;Gachnang;Frauenfeld;EVP/EDU;2000;1953;EVP;männlich
2008;Müller;Ulrich;Dr. med.;Weinfelden;Weinfelden;CVP;2000;;CVP;männlich
2013;Müller;Ulrich;Dr. med., Arzt;Weinfelden;Weinfelden;CVP/glp;2000;;CVP;männlich
2014;Müller;Ulrich;Dr. med., Arzt;Weinfelden;Weinfelden;CVP/glp;2000;;CVP;männlich
2015;Müller;Ulrich;Dr. med., Arzt;Weinfelden;Weinfelden;CVP/glp;2000;;CVP;männlich
2016;Müller;Ulrich;Dr. med., Arzt;Weinfelden;Weinfelden;CVP/glp;2000;;CVP;männlich
2017;Müller;Ulrich;Dr. med., Kinderarzt;Weinfelden;Weinfelden;CVP/EVP;2000;;CVP;männlich
2018;Müller;Ulrich;Dr. med., Kinderarzt;Weinfelden;Weinfelden;CVP/EVP;2000;;CVP;männlich
2009;Müller;Ulrich;Dr. med.;Weinfelden;Weinfelden;CVP/glp;2000;1946;CVP;männlich
2010;Müller;Ulrich;Dr. med.;Weinfelden;Weinfelden;CVP/glp;2000;1946;CVP;männlich
2011;Müller;Ulrich;Dr. med.;Weinfelden;Weinfelden;CVP/glp;2000;1946;CVP;männlich
2012;Müller;Ulrich;Dr. med.;Weinfelden;Weinfelden;CVP/glp;2000;1946;CVP;männlich
2008;Munz;Hans;Dr. iur., Rechtsanwalt, Gerichtspräsident;Amriswil;Bischofszell;FDP;2000;;FDP;männlich
2013;Munz;Hans;Dr. iur., Rechtsanwalt;Amriswil;Arbon;FDP;2000;;FDP;männlich
2014;Munz;Hans;Dr. iur., Rechtsanwalt;Amriswil;Arbon;FDP;2000;;FDP;männlich
2009;Munz;Hans;Dr. iur., Rechtsanwalt, Gerichtspräsident;Amriswil;Bischofszell;FDP;2000;1956;FDP;männlich
2010;Munz;Hans;Dr. iur., Rechtsanwalt;Amriswil;Bischofszell;FDP;2000;1956;FDP;männlich
2011;Munz;Hans;Dr. iur., Rechtsanwalt;Amriswil;Bischofszell;FDP;2000;1956;FDP;männlich
2012;Munz;Hans;Dr. iur., Rechtsanwalt;Amriswil;Bischofszell;FDP;2000;1956;FDP;männlich
2008;Näf-Hofmann;Marlies;Dr. iur., Rechtsanwältin;Arbon;Arbon;SVP;1992;;SVP;weiblich
2009;Näf-Hofmann;Marlies;Dr. iur., Rechtsanwältin;Arbon;Arbon;SVP;1992;1926;SVP;weiblich
2010;Näf-Hofmann;Marlies;Dr. iur., Rechtsanwältin;Arbon;Arbon;SVP;1992;1926;SVP;weiblich
2011;Näf-Hofmann;Marlies;Dr. iur., Rechtsanwältin;Arbon;Arbon;SVP;1992;1926;SVP;weiblich
2012;Näf-Hofmann;Marlies;Dr. iur., Rechtsanwältin;Arbon;Arbon;SVP;1992;1926;SVP;weiblich
2019;Nafzger;Martin;eidg. dipl. Gärtnermeister;Romanshorn;Arbon;SP;2018;;SP;männlich
2020;Nafzger;Martin;eidg. dipl. Gärtnermeister;Romanshorn;Arbon;SP;2018;;SP;männlich
2021;Nafzger;Martin;eidg. dipl. Gärtnermeister;Romanshorn;Arbon;SP;2018;;SP;männlich
2008;Nägeli;Richard;dipl. Ing. ETH, Unternehmer;Frauenfeld;Frauenfeld;FDP;2003;;FDP;männlich
2009;Nägeli;Richard;dipl. Ing. ETH,Unternehmer;Frauenfeld;Frauenfeld;FDP;2003;1949;FDP;männlich
2010;Nägeli;Richard;dipl. Ing. ETH,Unternehmer;Frauenfeld;Frauenfeld;FDP;2003;1949;FDP;männlich
2011;Nägeli;Richard;dipl. Ing. ETH,Unternehmer;Frauenfeld;Frauenfeld;FDP;2003;1949;FDP;männlich
2012;Nägeli;Richard;dipl. Ing. ETH,Unternehmer;Frauenfeld;Frauenfeld;FDP;2003;1949;FDP;männlich
2008;Nägeli;Willy;Primarlehrer;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2013;Nägeli;Willy;Gemeindeammann;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2014;Nägeli;Willy;Gemeindeammann;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2015;Nägeli;Willy;Gemeindeammann;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2016;Nägeli;Willy;Gemeindepräsident;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2017;Nägeli;Willy;Gemeindepräsident;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2018;Nägeli;Willy;Gemeindepräsident;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2019;Nägeli;Willy;Gemeindepräsident;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2020;Nägeli;Willy;a. Gemeindepräsident;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2021;Nägeli;Willy;a. Gemeindepräsident;Oberwangen;Münchwilen;SVP;1996;;SVP;männlich
2009;Nägeli;Willy;Primarlehrer;Oberwangen;Münchwilen;SVP;1996;1954;SVP;männlich
2010;Nägeli;Willy;Primarlehrer;Oberwangen;Münchwilen;SVP;1996;1954;SVP;männlich
2011;Nägeli;Willy;Primarlehrer;Oberwangen;Münchwilen;SVP;1996;1954;SVP;männlich
2012;Nägeli;Willy;Gemeindeammann;Oberwangen;Münchwilen;SVP;1996;1954;SVP;männlich
2008;Neubauer-Weber;Madlen;Geschäftsfrau, Lehrerin;Erlen;Bischofszell;CVP;2000;;CVP;weiblich
2009;Neubauer-Weber;Madlen;Geschäftsfrau,Lehrerin;Erlen;Bischofszell;CVP/glp;2000;1961;CVP;weiblich
2020;Neuweiler;Denise;Gemeindepräsidentin;Zuben;Kreuzlingen;SVP;2020;;SVP;weiblich
2021;Neuweiler;Denise;Gemeindepräsidentin;Zuben;Kreuzlingen;SVP;2020;;SVP;weiblich
2008;Niklaus;Andreas;dipl. Kult.-Ing. ETH/SIA;Amriswil;Bischofszell;SVP;2006;;SVP;männlich
2009;Niklaus;Andreas;dipl. Kult.-Ing. ETH/SIA;Amriswil;Bischofszell;SVP;2006;1957;SVP;männlich
2010;Niklaus;Andreas;dipl. Kult.-Ing. ETH/SIA;Amriswil;Bischofszell;SVP;2006;1957;SVP;männlich
2011;Niklaus;Andreas;dipl. Kult.-Ing. ETH/SIA;Amriswil;Bischofszell;SVP;2006;1957;SVP;männlich
2012;Niklaus;Andreas;dipl. Kult.-Ing. ETH/SIA;Amriswil;Bischofszell;SVP;2006;1957;SVP;männlich
2008;Oberholzer;Susanne;lic. phil., Sprachwissenschaftlerin;Frauenfeld;Frauenfeld;SP;2002;;SP;weiblich
2009;Oberholzer;Susanne;lic. phil., Sprachwissenschaftlerin;Frauenfeld;Frauenfeld;SP;2002;1980;SP;weiblich
2017;Opprecht;Andreas;Gemeindepräsident;Sulgen;Weinfelden;FDP;2016;;FDP;männlich
2018;Opprecht;Andreas;Gemeindepräsident;Sulgen;Weinfelden;FDP;2016;;FDP;männlich
2019;Opprecht;Andreas;Gemeindepräsident;Sulgen;Weinfelden;FDP;2016;;FDP;männlich
2020;Opprecht;Andreas;Gemeindepräsident;Sulgen;Weinfelden;FDP;2016;;FDP;männlich
2021;Opprecht;Andreas;Gemeindepräsident;Sulgen;Weinfelden;FDP;2016;;FDP;männlich
2016;Orellano;Lucas;Student, Sprachlehrer;Frauenfeld;Frauenfeld;CVP/glp;2015;;glp;männlich
2017;Orellano;Lucas;Journalist, Sprachlehrer;Frauenfeld;Frauenfeld;glp/BDP;2015;;glp;männlich
2018;Orellano;Lucas;Journalist, Sprachlehrer;Frauenfeld;Frauenfeld;glp/BDP;2015;;glp;männlich
2019;Orellano;Lucas;Journalist, Sprachlehrer;Frauenfeld;Frauenfeld;glp/BDP;2015;;glp;männlich
2013;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Frauenfeld;FDP;2010;;FDP;männlich
2014;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Frauenfeld;FDP;2010;;FDP;männlich
2015;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Frauenfeld;FDP;2010;;FDP;männlich
2016;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Frauenfeld;FDP;2010;;FDP;männlich
2017;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Frauenfeld;FDP;2010;;FDP;männlich
2018;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Frauenfeld;FDP;2010;;FDP;männlich
2019;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Frauenfeld;FDP;2010;;FDP;männlich
2010;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Steckborn;FDP;2010;1958;FDP;männlich
2011;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Steckborn;FDP;2010;1958;FDP;männlich
2012;Oswald;Ueli;dipl. Bauingenieur HTL;Berlingen;Steckborn;FDP;2010;1958;FDP;männlich
2020;Pagnoncini;Christina;Gemeindepräsidentin;Alterswilen;Kreuzlingen;glp;2018;;glp;weiblich
2021;Pagnoncini;Christina;Gemeindepräsidentin;Alterswilen;Kreuzlingen;glp;2018;;glp;weiblich
2018;Pagnoncini;Christina;Gemeindeschreiberin;Alterswilen;Kreuzlingen;glp/BDP;2018;;glp;weiblich
2019;Pagnoncini;Christina;Gemeindeschreiberin;Alterswilen;Kreuzlingen;glp/BDP;2018;;glp;weiblich
2008;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;;FDP;männlich
2013;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;;FDP;männlich
2014;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;;FDP;männlich
2015;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;;FDP;männlich
2016;Parolari;Carlo;Rechtsanwalt;Frauenfeld;Frauenfeld;FDP;2004;;FDP;männlich
2017;Parolari;Carlo;lic. iur., Rechtsanwalt;Frauenfeld;Frauenfeld;FDP;2004;;FDP;männlich
2018;Parolari;Carlo;lic. iur., Rechtsanwalt;Frauenfeld;Frauenfeld;FDP;2004;;FDP;männlich
2009;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;1962;FDP;männlich
2010;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;1962;FDP;männlich
2011;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;1962;FDP;männlich
2012;Parolari;Carlo;Stadtammann;Frauenfeld;Frauenfeld;FDP;2004;1962;FDP;männlich
2019;Pasche-Strasser;Corinna;Schulpräsidentin VSG;Bischofszell;Weinfelden;CVP/EVP;2019;;CVP;weiblich
2020;Pasche-Strasser;Corinna;Schulpräsidentin;Bischofszell;Weinfelden;CVP/EVP;2019;;CVP;weiblich
2021;Pasche-Strasser;Corinna;Schulpräsidentin;Bischofszell;Weinfelden;CVP/EVP;2019;;CVP;weiblich
2008;Peter;Richard;Gemeindeammann;Balterswil;Münchwilen;CVP;1988;;CVP;männlich
2009;Peter;Richard;Gemeindeammann;Balterswil;Münchwilen;CVP/glp;1988;1943;CVP;männlich
2020;Peter;Priska;dipl. Dentalassistetin, Bäuerin;Münchwilen;Münchwilen;SVP;2020;;SVP;weiblich
2021;Peter;Priska;dipl. Dentalassistetin, Bäuerin;Münchwilen;Münchwilen;SVP;2020;;SVP;weiblich
2017;Peter Köstli;Sabina;dipl. Betriebswirtschafterin HF;Ettenhausen;Münchwilen;CVP/EVP;2016;;CVP;weiblich
2018;Peter Köstli;Sabina;dipl. Betriebswirtschafterin HF;Ettenhausen;Münchwilen;CVP/EVP;2016;;CVP;weiblich
2019;Peter Köstli;Sabina;dipl. Betriebswirtschafterin HF;Ettenhausen;Münchwilen;CVP/EVP;2016;;CVP;weiblich
2020;Peter Köstli;Sabina;dipl. Betriebswirtschafterin HF;Ettenhausen;Münchwilen;CVP/EVP;2016;;CVP;weiblich
2021;Peter Köstli;Sabina;dipl. Betriebswirtschafterin HF;Ettenhausen;Münchwilen;CVP/EVP;2016;;CVP;weiblich
2008;Peter-Huber;Liselotte;dipl. Bäuerin, Lehrerin;Kefikon;Frauenfeld;SVP;2000;;SVP;weiblich
2009;Peter-Huber;Liselotte;dipl. Bäuerin, Lehrerin;Kefikon;Frauenfeld;SVP;2000;1961;SVP;weiblich
2010;Peter-Huber;Liselotte;dipl. Bäuerin, Lehrerin;Kefikon;Frauenfeld;SVP;2000;1961;SVP;weiblich
2011;Peter-Huber;Liselotte;dipl. Bäuerin, Lehrerin;Kefikon;Frauenfeld;SVP;2000;1961;SVP;weiblich
2012;Peter-Huber;Liselotte;dipl. Bäuerin, Lehrerin;Kefikon;Frauenfeld;SVP;2000;1961;SVP;weiblich
2020;Pfiffner Müller;Martina;Unternehmensberaterin;Gachnang;Frauenfeld;FDP;2020;;FDP;weiblich
2021;Pfiffner Müller;Martina;Unternehmensberaterin;Gachnang;Frauenfeld;FDP;2020;;FDP;weiblich
2013;Pretali;Beat;Wirtschaftsingenieur,Gemeindeammann;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2014;Pretali;Beat;Wirtschaftsingenieur,Gemeindeammann;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2015;Pretali;Beat;Wirtschaftsingenieur;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2016;Pretali;Beat;Wirtschaftsingenieur;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2017;Pretali;Beat;Wirtschaftsingenieur;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2018;Pretali;Beat;Wirtschaftsingenieur;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2019;Pretali;Beat;Wirtschaftsingenieur;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2020;Pretali;Beat;Wirtschaftsingenieur;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2021;Pretali;Beat;Wirtschaftsingenieur;Altnau;Kreuzlingen;FDP;2010;;FDP;männlich
2010;Pretali;Beat;Wirtschaftsingenieur, Gemeindeammann;Altnau;Kreuzlingen;FDP;2010;1964;FDP;männlich
2011;Pretali;Beat;Wirtschaftsingenieur, Gemeindeammann;Altnau;Kreuzlingen;FDP;2010;1964;FDP;männlich
2012;Pretali;Beat;Wirtschaftsingenieur, Gemeindeammann;Altnau;Kreuzlingen;FDP;2010;1964;FDP;männlich
2013;Raschle;Marianne;Unternehmerin;Kreuzlingen;Kreuzlingen;CVP/glp;2012;;CVP;weiblich
2014;Raschle;Marianne;Unternehmerin;Kreuzlingen;Kreuzlingen;CVP/glp;2012;;CVP;weiblich
2015;Raschle;Marianne;Unternehmerin;Kreuzlingen;Kreuzlingen;CVP/glp;2012;;CVP;weiblich
2016;Raschle;Marianne;Unternehmerin;Kreuzlingen;Kreuzlingen;CVP/glp;2012;;CVP;weiblich
2017;Raschle;Marianne;Unternehmerin;Kreuzlingen;Kreuzlingen;CVP/EVP;2012;;CVP;weiblich
2018;Raschle;Marianne;Unternehmerin;Kreuzlingen;Kreuzlingen;CVP/EVP;2012;;CVP;weiblich
2019;Raschle;Marianne;Unternehmerin;Kreuzlingen;Kreuzlingen;CVP/EVP;2012;;CVP;weiblich
2020;Raschle;Marianne;Unternehmerin, Kauffrau;Kreuzlingen;Kreuzlingen;CVP/EVP;2012;;CVP;weiblich
2018;Regli;Christoph;Privatkundenberater;Frauenfeld;Frauenfeld;CVP/EVP;2018;;CVP;männlich
2019;Regli;Christoph;Privatkundenberater;Frauenfeld;Frauenfeld;CVP/EVP;2018;;CVP;männlich
2020;Regli;Christoph;lic. Iur., Privatkundenberater;Frauenfeld;Frauenfeld;CVP/EVP;2018;;CVP;männlich
2021;Regli;Christoph;lic. Iur., Privatkundenberater;Frauenfeld;Frauenfeld;CVP/EVP;2018;;CVP;männlich
2020;Reinhart;Sandra;Bäuerin, Natur- und Umweltfachfrau;Amriswil;Arbon;GP;2020;;GP;weiblich
2021;Reinhart;Sandra;Bäuerin, Natur- und Umweltfachfrau;Amriswil;Arbon;GP;2020;;GP;weiblich
2015;Rickenbach;Elisabeth;Pflegefachfrau HF;Thundorf;Frauenfeld;EDU/EVP;2014;;EVP;weiblich
2016;Rickenbach;Elisabeth;Pflegefachfrau HF;Thundorf;Frauenfeld;EDU/EVP;2014;;EVP;weiblich
2017;Rickenbach;Elisabeth;Pflegefachfrau HF;Thundorf;Frauenfeld;CVP/EVP;2014;;EVP;weiblich
2018;Rickenbach;Elisabeth;Pflegefachfrau HF;Thundorf;Frauenfeld;CVP/EVP;2014;;EVP;weiblich
2019;Rickenbach;Elisabeth;Pflegefachfrau HF;Thundorf;Frauenfeld;CVP/EVP;2014;;EVP;weiblich
2020;Rickenbach;Elisabeth;Pflegefachfrau HF;Thundorf;Frauenfeld;CVP/EVP;2014;;EVP;weiblich
2021;Rickenbach;Elisabeth;Pflegefachfrau HF;Thundorf;Frauenfeld;CVP/EVP;2014;;EVP;weiblich
2008;Rickenmann;Paul;Meisterlandwirt;Dingenhart;Frauenfeld;SVP;1988;;SVP;männlich
2020;Ricklin;Judith;Primarlehrerin;Kreuzlingen;Kreuzlingen;SVP;2019;;SVP;weiblich
2021;Ricklin;Judith;Primarlehrerin;Kreuzlingen;Kreuzlingen;SVP;2019;;SVP;weiblich
2008;Ritzi;Ernst;Redaktor, Kirchenratsaktuar;Sulgen;Bischofszell;GP;1992;;GP;männlich
2009;Ritzi;Ernst;Redaktor, Kirchenratsaktuar;Sulgen;Bischofszell;GP;1992;1959;GP;männlich
2008;Rohrer;Annelies;Psychologin FSP;Amriswil;Bischofszell;SP;2004;;SP;weiblich
2009;Rohrer;Annelies;Psychologin FSP;Amriswil;Bischofszell;SP;2004;1957;SP;weiblich
2017;Rüedi;Beat;Rechtsanwalt;Kreuzlingen;Kreuzlingen;FDP;2016;;FDP;männlich
2018;Rüedi;Beat;Rechtsanwalt;Kreuzlingen;Kreuzlingen;FDP;2016;;FDP;männlich
2019;Rüedi;Beat;Rechtsanwalt;Kreuzlingen;Kreuzlingen;FDP;2016;;FDP;männlich
2020;Rüedi;Beat;lic. iur. HSG, Rechtsanwalt;Kreuzlingen;Kreuzlingen;FDP;2016;;FDP;männlich
2021;Rüedi;Beat;lic. iur. HSG, Rechtsanwalt;Kreuzlingen;Kreuzlingen;FDP;2016;;FDP;männlich
2014;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2015;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2016;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2017;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2018;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2019;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2020;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2021;Rüegg;Jost;Techniker TS;Kreuzlingen;Kreuzlingen;GP;2013;;GP;männlich
2021;Rüegg;Marco;Unternehmer, dipl. Ing. FH;Gachnang;Frauenfeld;glp;2020;;glp;männlich
2016;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2017;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2018;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2019;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2020;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2021;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2010;Rüetschi;Regina;Pflegefachfrau HF, Hilfswerkvertreterin;Frauenfeld;Frauenfeld;GP;2011;1959;GP;weiblich
2011;Rüetschi;Regina;Pflegefachfrau HF, Hilfswerkvertreterin;Frauenfeld;Frauenfeld;GP;2011;1959;GP;weiblich
2012;Rüetschi;Regina;Pflegefachfrau HF, Hilfswerkvertreterin;Frauenfeld;Frauenfeld;GP;2011;1959;GP;weiblich
2013;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2014;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2015;Rüetschi;Regina;Pflegefachfrau HF;Frauenfeld;Frauenfeld;GP;2011;;GP;weiblich
2009;Rupp;Fritz;Landwirt;Tobel;Münchwilen;EVP/EDU;2008;1949;EVP;männlich
2010;Rupp;Fritz;Landwirt;Tobel;Münchwilen;EVP/EDU;2008;1949;EVP;männlich
2011;Rupp;Fritz;Landwirt;Tobel;Münchwilen;EVP/EDU;2008;1949;EVP;männlich
2012;Rupp;Fritz;Landwirt;Tobel;Münchwilen;EVP/EDU;2008;1949;EVP;männlich
2013;Rutishauser;Matthias;Landwirt;Lengwil;Kreuzlingen;SVP;2012;;SVP;männlich
2014;Rutishauser;Matthias;Landwirt;Lengwil;Kreuzlingen;SVP;2012;;SVP;männlich
2015;Rutishauser;Matthias;Landwirt;Lengwil;Kreuzlingen;SVP;2012;;SVP;männlich
2016;Rutishauser;Matthias;Landwirt;Lengwil;Kreuzlingen;SVP;2012;;SVP;männlich
2017;Rutishauser;Matthias;Landwirt;Lengwil;Kreuzlingen;SVP;2012;;SVP;männlich
2018;Rutishauser;Matthias;Landwirt;Lengwil;Kreuzlingen;SVP;2012;;SVP;männlich
2019;Rutishauser;Matthias;Landwirt;Lengwil;Kreuzlingen;SVP;2012;;SVP;männlich
2008;Rutishauser-Brotbeck;Simone;Sozialpädagogin FH;Bottighofen;Kreuzlingen;SP;2005;;SP;weiblich
2008;Sallmann;Andreas;Unternehmer;Amriswil;Bischofszell;FDP;2004;;FDP;männlich
2009;Sallmann;Andreas;Unternehmer;Amriswil;Bischofszell;FDP;2004;1956;FDP;männlich
2013;Salvisberg;Martin;Stadtammann;Amriswil;Arbon;SVP;2012;;SVP;männlich
2014;Salvisberg;Martin;Stadtammann;Amriswil;Arbon;SVP;2012;;SVP;männlich
2015;Salvisberg;Martin;Stadtammann;Amriswil;Arbon;SVP;2012;;SVP;männlich
2016;Salvisberg;Martin;Stadtpräsident;Amriswil;Arbon;SVP;2012;;SVP;männlich
2017;Salvisberg;Martin;Stadtpräsident;Amriswil;Arbon;SVP;2012;;SVP;männlich
2018;Salvisberg;Martin;Stadtpräsident;Amriswil;Arbon;SVP;2012;;SVP;männlich
2019;Salvisberg;Martin;Stadtpräsident;Amriswil;Arbon;SVP;2012;;SVP;männlich
